0,0,0,25.75,1.71,11.4
0,5,0,25.79,1.98,89.1
0,10,0,26.43,2.5,8.1
0,15,0,26.25,1.43,0
0,20,0,25.9,2.05,66.2
0,25,0,26.59,1.77,40.6
0,30,0,26.43,2.02,0
0,35,0,25.95,1.95,36.5
0,40,0,26.28,2.12,67.1
0,45,0,26.62,1.81,0
0,50,0,26.29,1.78,12.8
0,55,0,26.32,1.83,88.5
0,60,0,26.75,2.48,3.6
0,65,0,26.36,1.85,0
0,70,0,26.17,2.01,76
0,75,0,26.79,1.71,30.5
0,80,0,26.54,2,0
0,85,0,26.08,2.65,49.3
0,90,0,26.62,2.07,60.2
0,95,0,26.83,1.76,0
0,100,0,26.45,1.76,19.8
0,105,0,26.65,1.89,87.6
0,110,0,27.2,1.52,0
0,115,0,26.77,1.77,0
0,120,0,26.53,2.38,83.8
0,125,0,27.08,2.24,21
0,130,0,26.73,2.38,0
0,135,0,26.5,1.97,62.1
0,140,0,27.28,1.34,43.7
0,145,0,27.43,1.62,0
0,150,0,27.06,1.6,38.9
0,155,0,27.41,1.36,65.8
0,160,0,27.68,1.28,0
0,165,0,27.24,1.24,18.9
0,170,0,27.24,1.1,88.3
0,175,0,27.73,1.49,3.6
0,180,0,27.24,1.33,0
0,185,0,26.98,2.17,79.3
0,190,0,27.66,2.17,30.1
0,195,0,27.46,2.55,0
0,200,0,27.21,1.71,53
0,205,0,28.12,1.54,53
0,210,0,28.24,1.56,0
0,215,0,27.72,1.75,33.6
0,220,0,28.05,1.51,74
0,225,0,28.3,1.51,0
0,230,0,27.59,1.94,11.1
0,235,0,27.55,1.48,88.6
0,240,0,28.18,1.69,12.6
0,245,0,27.82,1.95,0
0,250,0,27.48,1.58,71.3
0,255,0,28.15,1.43,38.4
0,260,0,27.95,1.57,0
0,265,0,27.4,1.59,45.5
0,270,0,27.71,1.51,62.5
0,275,0,27.75,1.77,0
0,280,0,27.27,1.27,25.2
0,285,0,27.5,1.17,80.7
0,290,0,27.92,1.59,0
0,295,0,27.4,1.6,8.3
0,300,0,27.31,2.2,89.4
0,305,0,27.69,2.28,12.2
0,310,0,27.34,2.1,0
0,315,0,27.01,2.22,74.5
0,320,0,27.53,1.82,34.1
0,325,0,27.42,1.5,0
0,330,0,27.09,1.41,55.7
0,335,0,27.59,1.97,56.4
0,340,0,27.66,1.89,0
0,345,0,27.09,1.86,30.2
0,350,0,27.41,1.56,80.1
0,355,0,27.72,2.25,0
0,360,0,27.34,1.93,7.8
0,365,0,27.32,1.58,88.6
0,370,0,27.82,1.92,13.5
0,375,0,27.4,1.52,0
0,380,0,27.2,1.75,77
0,385,0,27.87,1.72,35.1
0,390,0,27.72,1.76,0
0,395,0,27.32,1.84,53.4
0,400,0,27.78,1.66,56.7
0,405,0,27.84,1.73,0
0,410,0,27.33,1.5,34.7
0,415,0,27.68,1.65,73.8
0,420,0,28.02,2.06,0
0,425,0,27.46,2.91,18.1
0,430,0,27.75,1.36,89.7
0,435,13.47,28.32,1.92,4.4
0,440,17.73,27.88,1.62,0
0,445,26.54,27.7,1.77,85.9
0,450,36.27,28.34,1.7,25.6
0,455,48.27,28.07,2.15,0
0,460,58.64,27.7,1.8,65.6
0,465,67.44,28.2,1.98,46.9
0,470,77.68,28.09,1.93,0
0,475,90.4,27.6,1.88,44.5
